date,prior_data_date,structure,clock,S_open,daily_close,hourly_close,iv,exit_iv_mult,credit_haircut,gross_credit,pnl,vix_prev,vix9_prev,estimated_margin,put_strike,put_entry_delta,put_model_mid,put_credit,put_exit,put_reason,put_pnl,call_strike,call_entry_delta,call_model_mid,call_credit,call_exit,call_reason,call_pnl
2026-01-26,2026-01-23,strangle,trading,690.49,692.73,692.71,0.1609,1.5,0.85,79.66,-360.42,16.09,,13240.46,684,-0.1716,0.6465,0.4495,1.9367,stop,-150.02,698,0.1466,0.526,0.3471,2.438,stop,-210.39
2026-01-27,2026-01-26,strangle,trading,694.18,695.49,695.54,0.1615,1.5,0.85,81.93,-316.76,16.15,,13283.53,687,-0.1496,0.5495,0.3671,1.7887,stop,-143.46,701,0.1723,0.6496,0.4522,2.1721,stop,-173.3
2026-01-28,2026-01-27,strangle,trading,697.05,695.42,695.43,0.1635,1.5,0.85,86.68,-319.62,16.35,,13332.67,690,-0.1579,0.5976,0.4079,1.9941,stop,-159.92,704,0.1717,0.6574,0.4588,2.0428,stop,-159.69
2026-01-29,2026-01-28,strangle,trading,696.39,694.04,693.97,0.1635,1.5,0.85,73.08,-549.89,16.35,,13261.18,689,-0.1464,0.5434,0.3619,4.3775,stop,-402.86,704,0.1493,0.5516,0.3689,1.8263,stop,-147.04
2026-02-03,2026-02-02,strangle,trading,696.21,689.53,689.46,0.1634,1.5,0.85,72.95,-457.08,16.34,,13276.15,689,-0.1521,0.5693,0.3839,3.4766,stop,-310.57,704,0.1434,0.5243,0.3456,1.7977,stop,-146.51
2026-02-04,2026-02-03,strangle,trading,690.35,686.19,686.12,0.18,1.5,0.85,100.03,-446.45,18.0,,13172.03,683,-0.1687,0.7077,0.5016,3.1714,stop,-268.28,698,0.1694,0.7044,0.4987,2.2674,stop,-178.16
2026-02-05,2026-02-04,strangle,trading,680.94,677.62,677.44,0.1864,1.5,0.85,93.15,-523.59,18.64,,12915.6,673,-0.1552,0.6517,0.454,3.3909,stop,-294.99,689,0.1619,0.6794,0.4775,2.7505,stop,-228.6
2026-02-06,2026-02-05,strangle,trading,681.09,690.62,690.6,0.2177,1.5,0.85,108.3,-505.26,21.77,,12821.1,672,-0.1599,0.7909,0.5723,2.2925,stop,-173.32,691,0.1495,0.7185,0.5107,3.8171,stop,-331.94
2026-02-09,2026-02-06,strangle,trading,689.42,693.95,693.91,0.2037,1.5,0.85,114.95,-464.74,20.37,,13059.12,681,-0.1653,0.7807,0.5636,2.4602,stop,-190.96,698,0.1714,0.807,0.5859,3.3107,stop,-273.78
2026-02-10,2026-02-09,strangle,trading,694.95,692.12,692.09,0.1736,1.5,0.85,90.99,-364.6,17.36,,13294.99,688,-0.175,0.7195,0.5116,2.3823,stop,-188.37,703,0.1497,0.5863,0.3984,2.1476,stop,-176.22
2026-02-11,2026-02-10,strangle,trading,696.39,691.96,691.92,0.1779,1.5,0.85,99.01,-579.45,17.79,,13286.94,689,-0.1666,0.695,0.4907,4.5935,stop,-411.58,704,0.17,0.7051,0.4994,2.1651,stop,-167.87
2026-02-12,2026-02-11,strangle,trading,694.24,681.27,681.22,0.1765,1.5,0.85,95.47,-379.09,17.65,,13256.27,687,-0.1689,0.6992,0.4943,2.537,stop,-205.57,702,0.1625,0.6593,0.4604,2.1826,stop,-173.51
2026-02-13,2026-02-12,strangle,trading,681.72,681.75,681.6,0.2082,1.5,0.85,105.17,-492.67,20.82,,12867.57,673,-0.1595,0.7542,0.5411,3.4157,stop,-288.76,691,0.1548,0.7184,0.5106,2.5368,stop,-203.91
2026-02-17,2026-02-13,strangle,trading,680.14,682.85,682.75,0.206,1.5,0.85,114.27,-524.44,20.6,,12903.07,672,-0.1729,0.8237,0.6002,3.4465,stop,-285.93,689,0.163,0.7559,0.5426,2.9147,stop,-238.51
2026-02-18,2026-02-17,strangle,trading,684.02,686.29,686.19,0.2029,1.5,0.85,97.09,-477.43,20.29,,12879.49,675,-0.146,0.6607,0.4616,2.269,stop,-182.05,693,0.1574,0.7168,0.5093,3.4502,stop,-295.39
2026-02-24,2026-02-23,strangle,trading,681.9,687.35,687.38,0.2101,1.5,0.85,108.52,-517.19,21.01,,12854.72,673,-0.1568,0.7454,0.5336,2.6467,stop,-212.61,691,0.1619,0.7666,0.5516,3.5844,stop,-304.58
2026-03-09,2026-03-06,strangle,trading,666.39,678.27,678.32,0.2949,1.5,0.85,152.14,-570.83,29.49,,12237.17,654,-0.1525,0.9904,0.7418,3.9501,stop,-322.13,679,0.1601,1.0348,0.7796,3.2536,stop,-248.7
2026-03-30,2026-03-27,strangle,trading,640.11,631.97,632.0,0.3105,1.5,0.85,158.08,-603.39,31.05,,11749.28,628,-0.1606,1.0686,0.8083,4.5992,stop,-380.38,653,0.1577,1.0264,0.7725,2.9895,stop,-223.01
