date,status,reason,quality,expected_bars,actual_bars,close_gap,missing_high,missing_low
2025-05-29,included,,complete_hourly,7,7,0.06,0.0,0.0
2025-05-30,included,,complete_hourly,7,7,0.07,0.0001,0.0
2025-06-02,included,,complete_hourly,7,7,0.09,0.0,0.0
2025-06-03,included,,complete_hourly,7,7,0.02,0.0,0.0
2025-06-04,included,,complete_hourly,7,7,0.04,0.0,0.0
2025-06-05,included,,complete_hourly,7,7,0.05,0.0,0.0
2025-06-06,included,,complete_hourly,7,7,0.1,0.0,0.0
2025-06-09,included,,complete_hourly,7,7,0.11,0.0,0.01
2025-06-10,included,,complete_hourly,7,7,0.05,0.0,0.0
2025-06-11,included,,complete_hourly,7,7,0.05,0.0,0.0
2025-06-12,included,,complete_hourly,7,7,0.07,0.03,0.0
2025-06-13,included,,complete_hourly,7,7,0.06,0.0,0.0
2025-06-16,included,,complete_hourly,7,7,0.02,0.0,0.7401
2025-06-17,included,,complete_hourly,7,7,0.04,0.0,0.0
2025-06-18,included,,complete_hourly,7,7,0.02,0.0,0.0
2025-06-20,included,,complete_hourly,7,7,0.0601,0.0,0.0
2025-06-23,included,,complete_hourly,7,7,0.03,0.0,0.0
2025-06-24,included,,complete_hourly,7,7,0.02,0.0001,0.0
2025-06-25,included,,complete_hourly,7,7,0.04,0.0,0.0
2025-06-26,included,,complete_hourly,7,7,0.01,0.0,0.0
2025-06-27,included,,complete_hourly,7,7,0.06,0.0,0.0
2025-06-30,included,,complete_hourly,7,7,0.05,0.0,0.0
2025-07-01,included,,complete_hourly,7,7,0.09,0.0,0.0
2025-07-02,included,,complete_hourly,7,7,0.08,0.01,0.0
2025-07-03,included,,daily_ohlc_guards_missing_half_day_fragment,4,3,0.395,0.2,0.0
2025-07-07,included,,complete_hourly,7,7,0.1,0.0,0.0
2025-07-08,included,,complete_hourly,7,7,0.03,0.0,0.0
2025-07-09,included,,complete_hourly,7,7,0.07,0.0,0.0005
2025-07-10,included,,complete_hourly,7,7,0.01,0.0,0.0
2025-07-11,included,,complete_hourly,7,7,0.01,0.0,0.0
2025-07-14,included,,complete_hourly,7,7,0.09,0.0019,0.0
2025-07-15,included,,complete_hourly,7,7,0.03,0.0,0.02
2025-07-16,included,,complete_hourly,7,7,0.04,0.0,0.0
2025-07-17,included,,complete_hourly,7,7,0.06,0.0,0.0
2025-07-18,included,,complete_hourly,7,7,0.01,0.0,0.0
2025-07-21,included,,complete_hourly,7,7,0.04,0.0,0.0
2025-07-22,included,,complete_hourly,7,7,0.03,0.0,0.0
2025-07-23,included,,complete_hourly,7,7,0.05,0.05,0.0
2025-07-24,included,,complete_hourly,7,7,0.03,0.0,0.0
2025-07-25,included,,complete_hourly,7,7,0.0699,0.0001,0.0
2025-07-28,included,,complete_hourly,7,7,0.05,0.0,0.0
2025-07-29,included,,complete_hourly,7,7,0.04,0.0,0.0
2025-07-30,included,,complete_hourly,7,7,0.04,0.0,0.0
2025-07-31,included,,complete_hourly,7,7,0.11,0.0,0.0
2025-08-01,included,,complete_hourly,7,7,0.0099,0.0,0.0
2025-08-04,included,,complete_hourly,7,7,0.11,0.0049,0.0
2025-08-05,included,,complete_hourly,7,7,0.05,0.0048,0.0
2025-08-06,included,,complete_hourly,7,7,0.11,0.0,0.0
2025-08-07,included,,complete_hourly,7,7,0.04,0.0,0.0
2025-08-08,included,,complete_hourly,7,7,0.06,0.005,0.0
2025-08-11,included,,complete_hourly,7,7,0.1,0.0,0.0
2025-08-12,included,,complete_hourly,7,7,0.06,0.0,0.0
2025-08-13,included,,complete_hourly,7,7,0.01,0.0,0.0
2025-08-14,included,,complete_hourly,7,7,0.01,0.0,0.0
2025-08-15,included,,complete_hourly,7,7,0.02,0.0,0.0
2025-08-18,included,,complete_hourly,7,7,0.02,0.0,0.0
2025-08-19,included,,complete_hourly,7,7,0.06,0.005,0.0
2025-08-20,included,,complete_hourly,7,7,0.07,0.54,0.0
2025-08-21,included,,complete_hourly,7,7,0.04,0.0,0.0
2025-08-22,included,,complete_hourly,7,7,0.07,0.0,0.0
2025-08-25,included,,complete_hourly,7,7,0.02,0.0,0.0
2025-08-26,included,,complete_hourly,7,7,0.03,0.0,0.0
2025-08-27,included,,complete_hourly,7,7,0.03,0.0,0.0
2025-08-28,included,,complete_hourly,7,7,0.06,0.0,0.0
2025-08-29,included,,complete_hourly,7,7,0.06,0.0819,0.0
2025-09-02,included,,complete_hourly,7,7,0.06,0.0,0.0
2025-09-03,included,,complete_hourly,7,7,0.1,0.0,0.0
2025-09-04,included,,complete_hourly,7,7,0.13,0.0,0.0
2025-09-05,included,,complete_hourly,7,7,0.02,0.0,0.0
2025-09-08,included,,complete_hourly,7,7,0.03,0.0,0.0
2025-09-09,included,,complete_hourly,7,7,0.01,0.0,0.0
2025-09-10,included,,complete_hourly,7,7,0.015,0.0,0.0
2025-09-11,included,,complete_hourly,7,7,0.04,0.0,0.0
2025-09-12,included,,complete_hourly,7,7,0.0099,0.0,0.0
2025-09-15,included,,complete_hourly,7,7,0.06,0.0,0.0
2025-09-16,included,,complete_hourly,7,7,0.07,0.0,0.0
2025-09-17,included,,complete_hourly,7,7,0.0,0.0,0.0
2025-09-18,included,,complete_hourly,7,7,0.03,0.0,0.0
2025-09-19,included,,complete_hourly,7,7,0.08,0.0,0.0
2025-09-22,included,,complete_hourly,7,7,0.06,0.0,0.0
2025-09-23,included,,complete_hourly,7,7,0.04,0.0,0.0
2025-09-24,included,,complete_hourly,7,7,0.0699,0.0,0.0
2025-09-25,included,,complete_hourly,7,7,0.1,0.0044,0.0
2025-09-26,included,,complete_hourly,7,7,0.09,0.0,0.0
2025-09-29,included,,complete_hourly,7,7,0.08,0.0,0.0
2025-09-30,included,,complete_hourly,7,7,0.09,0.0,0.0
2025-10-01,included,,complete_hourly,7,7,0.05,0.0,0.0
2025-10-02,included,,complete_hourly,7,7,0.0699,0.005,0.0
2025-10-03,included,,complete_hourly,7,7,0.01,0.005,0.0
2025-10-06,included,,complete_hourly,7,7,0.03,0.0,0.0
2025-10-07,included,,complete_hourly,7,7,0.01,0.0,0.0
2025-10-08,included,,complete_hourly,7,7,0.07,0.0044,0.0
2025-10-09,included,,complete_hourly,7,7,0.03,0.0,0.0
2025-10-10,included,,complete_hourly,7,7,0.09,0.0,0.0
2025-10-13,included,,complete_hourly,7,7,0.01,0.0,0.0
2025-10-14,included,,complete_hourly,7,7,0.03,0.0,0.0
2025-10-15,included,,complete_hourly,7,7,0.09,0.0,0.0
2025-10-16,included,,complete_hourly,7,7,0.03,0.0,0.0
2025-10-17,included,,complete_hourly,7,7,0.07,0.005,0.0
2025-10-20,included,,complete_hourly,7,7,0.04,0.0,0.0
2025-10-21,included,,complete_hourly,7,7,0.04,0.0,0.001
2025-10-22,included,,complete_hourly,7,7,0.01,0.0,0.0
2025-10-23,included,,complete_hourly,7,7,0.15,0.0,0.0
2025-10-24,included,,complete_hourly,7,7,0.14,0.0,0.0
2025-10-27,included,,complete_hourly,7,7,0.05,0.0,0.0
2025-10-28,included,,complete_hourly,7,7,0.08,0.0049,0.0
2025-10-29,included,,complete_hourly,7,7,0.09,0.0,0.0
2025-10-30,included,,complete_hourly,7,7,0.14,0.0,0.03
2025-10-31,included,,complete_hourly,7,7,0.085,0.0,0.0
2025-11-03,included,,complete_hourly,7,7,0.0099,0.0,0.0
2025-11-04,included,,complete_hourly,7,7,0.1,0.0,0.0
2025-11-05,included,,complete_hourly,7,7,0.08,0.0,0.0
2025-11-06,included,,complete_hourly,7,7,0.07,0.0,0.0
2025-11-07,included,,complete_hourly,7,7,0.05,0.0,0.0
2025-11-10,included,,complete_hourly,7,7,0.12,0.0,0.0
2025-11-11,included,,complete_hourly,7,7,0.13,0.0,0.0
2025-11-12,included,,complete_hourly,7,7,0.095,0.0,0.0
2025-11-13,included,,complete_hourly,7,7,0.01,0.0,0.0
2025-11-14,included,,complete_hourly,7,7,0.02,0.0,0.0
2025-11-17,included,,complete_hourly,7,7,0.02,0.0,0.0
2025-11-18,included,,complete_hourly,7,7,0.06,0.0,0.0
2025-11-19,included,,complete_hourly,7,7,0.02,0.0,0.0
2025-11-20,included,,complete_hourly,7,7,0.0,0.0,0.0
2025-11-21,included,,complete_hourly,7,7,0.03,0.0,0.0
2025-11-24,included,,complete_hourly,7,7,0.08,0.0,0.0
2025-11-25,included,,complete_hourly,7,7,0.02,0.0,0.0
2025-11-26,included,,complete_hourly,7,7,0.05,0.0,0.0
2025-11-28,included,,daily_ohlc_guards_missing_half_day_fragment,4,3,1.075,0.67,0.0
2025-12-01,included,,complete_hourly,7,7,0.0,0.0,0.0
2025-12-02,included,,complete_hourly,7,7,0.05,0.0,0.0
2025-12-03,included,,complete_hourly,7,7,0.08,0.0,0.0
2025-12-04,included,,complete_hourly,7,7,0.01,0.02,0.0
2025-12-05,included,,complete_hourly,7,7,0.04,0.0,0.0
2025-12-08,included,,complete_hourly,7,7,0.02,0.0,0.0
2025-12-09,included,,complete_hourly,7,7,0.01,0.005,0.0
2025-12-10,included,,complete_hourly,7,7,0.11,0.0,0.0
2025-12-11,included,,complete_hourly,7,7,0.02,0.0,0.0
2025-12-12,included,,complete_hourly,7,7,0.03,0.0,0.0044
2025-12-15,included,,complete_hourly,7,7,0.02,0.0,0.0
2025-12-16,included,,complete_hourly,7,7,0.01,0.0,0.0
2025-12-17,included,,complete_hourly,7,7,0.1,0.005,0.0
2025-12-18,included,,complete_hourly,7,7,0.01,0.0,0.0
2025-12-19,included,,complete_hourly,7,7,0.0,0.0,0.53
2025-12-22,included,,complete_hourly,7,7,0.04,0.0,2.09
2025-12-23,included,,complete_hourly,7,7,0.05,0.0,0.0
2025-12-24,included,,daily_ohlc_guards_missing_half_day_fragment,4,3,0.155,0.19,0.09
2025-12-26,included,,complete_hourly,7,7,0.065,0.0,0.0
2025-12-29,included,,complete_hourly,7,7,0.0099,0.0,0.0
2025-12-30,included,,complete_hourly,7,7,0.07,0.005,0.0
2025-12-31,included,,complete_hourly,7,7,0.08,0.0,0.0
