date,structure,S_open,S_close,iv,gross_credit,pnl,vix_prev,put_strike,put_credit,put_exit,put_reason,put_pnl,call_strike,call_credit,call_exit,call_reason,call_pnl
2026-02-10,strangle,694.95,692.12,0.1736,323.28,132.68,17.36,694,2.51,1.88,expire,62.06,702,0.72,0.0,expire,70.62
2026-02-11,strangle,696.39,691.96,0.1779,326.01,19.41,17.79,695,2.4,3.04,expire,-65.17,703,0.86,0.0,expire,84.58
2026-02-12,strangle,694.24,681.27,0.1765,323.79,-638.83,17.65,693,2.43,9.6,stop,-718.07,701,0.81,0.0,expire,79.23
2026-02-13,strangle,681.69,681.75,0.2082,420.61,418.01,20.82,681,3.16,0.0,expire,315.19,689,1.04,0.0,expire,102.83
2026-02-17,strangle,680.14,682.85,0.206,381.32,378.72,20.6,679,2.91,0.0,expire,290.04,688,0.9,0.0,expire,88.68
2026-02-19,strangle,683.84,684.48,0.1962,383.3,380.7,19.62,683,2.9,0.0,expire,288.82,691,0.93,0.0,expire,91.88
2026-02-20,strangle,682.32,689.43,0.2023,368.01,65.94,20.23,681,2.78,0.0,expire,276.9,690,0.9,2.99,stop,-210.96
2026-02-23,strangle,687.83,682.39,0.1909,371.33,-92.26,19.09,687,2.83,4.61,expire,-178.88,695,0.88,0.0,expire,86.62
2026-02-25,strangle,690.18,693.15,0.1955,358.57,355.97,19.55,689,2.77,0.0,expire,275.34,698,0.82,0.0,expire,80.62
2026-02-26,strangle,693.28,689.3,0.1793,330.33,-453.63,17.93,692,2.46,7.81,stop,-536.75,700,0.84,0.0,expire,83.12
2026-02-27,strangle,683.09,685.99,0.1863,347.51,344.91,18.63,682,2.62,0.0,expire,260.32,690,0.86,0.0,expire,84.59
2026-03-02,strangle,678.7,686.38,0.1986,389.67,97.24,19.86,678,2.98,0.0,expire,296.88,686,0.91,2.9,stop,-199.63
2026-03-03,strangle,675.06,680.33,0.2144,402.95,400.35,21.44,674,3.06,0.0,expire,305.18,683,0.96,0.0,expire,95.18
2026-03-05,strangle,682.08,681.31,0.2115,400.4,397.8,21.15,681,3.04,0.0,expire,303.06,690,0.96,0.0,expire,94.74
2026-03-06,strangle,673.41,672.38,0.2375,439.15,436.55,23.75,672,3.29,0.0,expire,327.3,682,1.11,0.0,expire,109.25
2026-03-18,strangle,668.36,661.43,0.2237,416.07,-143.53,22.37,667,3.05,5.57,expire,-253.34,676,1.11,0.0,expire,109.81
2026-03-26,strangle,652.06,645.09,0.2533,470.47,-123.13,25.33,651,3.58,5.91,expire,-234.76,661,1.13,0.0,expire,111.63
2026-03-27,strangle,642.5,634.09,0.2744,533.5,-260.1,27.44,642,4.12,7.91,expire,-380.44,652,1.22,0.0,expire,120.34
2026-03-30,strangle,640.11,631.97,0.3105,573.32,-132.28,31.05,639,4.39,7.03,expire,-265.13,651,1.34,0.0,expire,132.85
2026-03-31,strangle,638.94,650.34,0.3061,564.63,528.03,30.61,638,4.39,0.0,expire,437.9,650,1.25,0.34,expire,90.12
2026-04-01,strangle,653.9,655.24,0.2525,474.51,471.91,25.25,653,3.65,0.0,expire,363.49,663,1.1,0.0,expire,108.42
2026-04-02,strangle,646.42,655.83,0.2454,433.48,-96.18,24.54,645,3.25,0.0,expire,323.73,655,1.08,5.27,stop,-419.92
2026-04-06,strangle,655.86,658.93,0.2387,458.83,456.23,23.87,655,3.45,0.0,expire,343.96,664,1.14,0.0,expire,112.27
2026-04-07,strangle,656.65,659.22,0.2417,473.7,471.1,24.17,656,3.61,0.0,expire,359.22,665,1.13,0.0,expire,111.89
2026-04-09,strangle,674.84,679.91,0.2104,397.3,394.7,21.04,674,3.1,0.0,expire,308.39,683,0.88,0.0,expire,86.32
2026-04-10,strangle,681.32,679.46,0.1949,346.08,289.48,19.49,680,2.65,0.54,expire,209.92,689,0.81,0.0,expire,79.57
2026-04-13,strangle,677.41,686.1,0.1923,352.96,140.36,19.23,676,2.55,0.0,expire,253.8,684,0.98,2.1,expire,-113.43
2026-04-14,strangle,687.69,694.46,0.1912,375.86,373.26,19.12,687,2.9,0.0,expire,289.04,695,0.86,0.0,expire,84.23
2026-04-15,strangle,695.26,699.94,0.1836,345.03,342.43,18.36,694,2.55,0.0,expire,253.75,702,0.9,0.0,expire,88.69
2026-04-16,strangle,701.06,701.66,0.1817,348.7,346.1,18.17,700,2.63,0.0,expire,261.88,708,0.86,0.0,expire,84.23
2026-04-17,strangle,706.14,710.14,0.1794,343.73,341.13,17.94,705,2.58,0.0,expire,256.56,713,0.86,0.0,expire,84.57
2026-04-20,strangle,708.78,708.72,0.1748,341.4,338.8,17.48,708,2.67,0.0,expire,265.81,716,0.74,0.0,expire,72.99
2026-04-21,strangle,710.28,704.08,0.1887,352.14,-142.46,18.87,709,2.7,4.92,expire,-223.39,718,0.82,0.0,expire,80.93
2026-04-22,strangle,709.15,711.21,0.195,373.27,370.67,19.5,708,2.86,0.0,expire,284.92,717,0.87,0.0,expire,85.75
2026-04-23,strangle,709.5,708.45,0.1892,392.73,335.13,18.92,709,3.06,0.55,expire,249.75,717,0.87,0.0,expire,85.38
2026-04-24,strangle,710.75,713.94,0.1931,398.72,396.12,19.31,710,3.02,0.0,expire,300.54,718,0.97,0.0,expire,95.59
2026-04-27,strangle,713.17,715.17,0.1871,371.91,369.31,18.71,712,2.73,0.0,expire,271.97,720,0.99,0.0,expire,97.34
2026-04-28,strangle,711.82,711.69,0.1802,358.77,356.17,18.02,711,2.76,0.0,expire,275.11,719,0.82,0.0,expire,81.06
2026-04-29,strangle,711.0,711.58,0.1783,347.59,344.99,17.83,710,2.64,0.0,expire,262.99,718,0.83,0.0,expire,82.0
2026-04-30,strangle,714.63,718.66,0.1881,389.85,387.25,18.81,714,3.0,0.0,expire,299.05,722,0.89,0.0,expire,88.2
2026-05-01,strangle,721.25,720.65,0.1689,320.44,317.84,16.89,720,2.41,0.0,expire,239.64,728,0.8,0.0,expire,78.2
2026-05-04,strangle,720.07,718.01,0.1699,327.11,225.51,16.99,719,2.5,0.99,expire,149.82,727,0.77,0.0,expire,75.69
2026-05-05,strangle,721.77,723.77,0.1829,375.78,373.18,18.29,721,2.88,0.0,expire,286.47,729,0.88,0.0,expire,86.7
2026-05-06,strangle,728.16,733.83,0.1738,342.62,340.02,17.38,727,2.57,0.0,expire,255.27,735,0.86,0.0,expire,84.75
2026-05-07,strangle,735.05,731.58,0.1739,350.7,106.1,17.39,734,2.65,2.42,expire,21.27,742,0.86,0.0,expire,84.83
2026-05-08,strangle,734.93,737.62,0.1708,344.06,341.46,17.08,734,2.64,0.0,expire,262.93,742,0.8,0.0,expire,78.53
2026-05-11,strangle,736.45,739.3,0.1719,336.1,333.5,17.19,735,2.44,0.0,expire,242.78,743,0.92,0.0,expire,90.72
2026-05-12,strangle,736.89,738.18,0.1838,387.26,384.66,18.38,736,2.91,0.0,expire,289.45,744,0.97,0.0,expire,95.2
2026-05-13,strangle,738.47,742.31,0.1799,342.39,339.79,17.99,737,2.59,0.0,expire,257.34,746,0.84,0.0,expire,82.45
2026-05-14,strangle,743.65,748.17,0.1787,382.66,380.06,17.87,743,2.95,0.0,expire,294.14,751,0.87,0.0,expire,85.93
2026-05-15,strangle,741.79,739.17,0.1726,358.32,172.72,17.26,741,2.77,1.83,expire,92.52,749,0.82,0.0,expire,80.2
2026-05-18,strangle,739.83,738.65,0.1843,392.68,355.09,18.43,739,2.96,0.35,expire,259.46,747,0.97,0.0,expire,95.62
2026-05-19,strangle,734.78,733.73,0.1782,370.9,341.29,17.82,734,2.85,0.27,expire,256.27,742,0.86,0.0,expire,85.03
2026-05-20,strangle,735.71,741.25,0.1806,380.97,378.37,18.06,735,2.93,0.0,expire,291.33,743,0.88,0.0,expire,87.05
