date,status,reason,expected_bars,actual_bars,close_gap,missing_high,missing_low
2024-03-08,included,,7,7,0.04,0.0,0.0
2024-03-11,included,,7,7,0.03,0.0,0.0
2024-03-12,included,,7,7,0.03,0.0,0.0
2024-03-13,included,,7,7,0.02,0.0,0.0
2024-03-14,included,,7,7,0.01,0.005,0.0
2024-03-15,included,,7,7,0.08,0.0,0.24
2024-03-18,included,,7,7,0.01,0.0,0.0
2024-03-19,included,,7,7,0.05,0.005,0.0
2024-03-20,included,,7,7,0.06,0.0,0.0
2024-03-21,included,,7,7,0.099,0.0,0.0
2024-03-22,included,,7,7,0.06,0.005,0.0
2024-03-25,included,,7,7,0.04,0.0,0.0
2024-03-26,included,,7,7,0.14,0.0,0.0
2024-03-27,included,,7,7,0.0,0.01,0.0
2024-03-28,included,,7,7,0.06,0.0,0.0
2024-04-01,included,,7,7,0.06,0.0,0.0
2024-04-02,included,,7,7,0.0099,0.0,0.0
2024-04-03,included,,7,7,0.05,0.0,0.0
2024-04-04,included,,7,7,0.02,0.0026,0.0
2024-04-05,included,,7,7,0.03,0.0,0.0
2024-04-08,included,,7,7,0.05,0.0,0.0
2024-04-09,included,,7,7,0.02,0.0,0.0
2024-04-10,included,,7,7,0.04,0.0,0.0
2024-04-11,included,,7,7,0.05,0.0,0.0
2024-04-12,included,,7,7,0.03,0.005,0.0
2024-04-15,included,,7,7,0.05,0.0,0.0
2024-04-16,included,,7,7,0.03,0.0,0.21
2024-04-17,included,,7,7,0.04,0.0,0.0
2024-04-18,included,,7,7,0.02,0.0,0.0
2024-04-19,included,,7,7,0.06,0.005,0.0
2024-04-22,included,,7,7,0.09,0.0,0.0
2024-04-23,included,,7,7,0.01,0.0,1.695
2024-04-24,included,,7,7,0.06,0.0,0.0
2024-04-25,included,,7,7,0.05,0.0,0.0
2024-04-26,included,,7,7,0.02,0.0,0.0
2024-04-29,included,,7,7,0.01,0.0,0.0
2024-04-30,included,,7,7,0.05,0.0,0.05
2024-05-01,included,,7,7,0.08,0.0,0.0
2024-05-02,included,,7,7,0.02,0.0,0.0
2024-05-03,included,,7,7,0.0,0.0,0.0
2024-05-06,included,,7,7,0.02,0.0,0.0
2024-05-07,included,,7,7,0.06,0.0,0.0
2024-05-08,included,,7,7,0.0,0.0,0.0
